No.,Town,Location,Number of Stalls,Remarks,GPS Coordinates
1,Bandar Tun Razak,TLK Taman Tasik Permaisuri,160,,"3.0971678602016413, 101.71847895401034"
2,Bandar Tun Razak,Sungai Besi - Jalan Tasek Utama 7,120,Night market site (Wednesday and Saturday),"3.0610111539806546, 101.70929355216161"
3,Bandar Tun Razak,Bandar Tun Razak Jalan Jujur 1 (The Holmes II),150,Night market site (Thursday),"3.088995575110729, 101.72070058099716"
4,Bandar Tun Razak,Taman Bukit Cheras Jalan 11/144A,50,,"3.077235, 101.752949"
5,Bandar Tun Razak,TLK Hadapan Pusat Komuniti Bandar Tun Razak Jalan Budiman 1,50,,"3.091748, 101.729212"
6,Bandar Tun Razak,"Jalan Sembilang, Taman Tenaga",50,,"3.097965, 101.731323"
7,Batu,Kampung Batu Muda Kawasan Lapang Jalan 1/12 B,50,,"3.211533, 101.682769"
8,Batu,TLK Hadapan UTC Sentul,100,,"3.179079, 101.693558"
9,Batu,Tapak Pasar Malam PPR Batu Muda,30,Night market site (Tuesday and Thursday),"3.214156, 101.685097"
10,Batu,Jalan Hadapan Rumah Pangsa PKNS Jalan Kuching,220,Night market site (Thursday),"3.186071, 101.666199"
11,Batu,Taman Wilayah Selayang Jalan 14/2A,60,Night market site (Friday),"3.230051, 101.652758"
12,Batu,Taman Dato Senu Jalan Dato Senu 18,100,Night market site (Tuesday),"3.188003, 101.686324"
13,Bukit Bintang,Dataran Batik Masjid Jamek Sultan Abdul Samad Kuala Lumpur,10,,"3.157933, 101.695518"
14,Bukit Bintang,Hadapan pintu F MRT Bukit Bintang Jalan Berangan off Jalan Sultan Ismail,20,,"3.147586, 101.713688"
15,Bukit Bintang,Taman Desa Petaling Jalan 1/125D,30,,"3.073388, 101.693583"
16,Cheras,PPR Seri Alam,50,Night market site (Thursday),"3.090592, 101.741425"
17,Kepong,Metro Prima Jalan Prima 5,40,,"3.210758, 101.631914"
18,Lembah Pantai,Taman Sri Sentosa Jalan 12,50,Night market site (Thursday),"3.076647, 101.679174"
19,Lembah Pantai,Jalan Bangsar Utama,40,,"3.127417, 101.682899"
20,Lembah Pantai,TLK Hadapan Pusat Penjaja Bazaria Pantai,100,,"3.109314, 101.664384"
21,Lembah Pantai,Tapak Pasar Malam Jalan Telawi 1 hingga Jalan Telawi 4,100,Night market site (Sunday),"3.128465, 101.671253"
22,Segambut,Taman Tun Dr Ismail Jalan Tun Mohd Fuad 2,100,Night market site (Sunday),"3.145737, 101.628678"
23,Segambut,Taman Sri Sinar Jalan 4/38A,50,Night market site (Wednesday and Sunday),"3.179184, 101.655952"
24,Segambut,Tapak Pasar Malam Kg Sg Penchala,80,Night market site (Thursday),"3.162193, 101.622452"
25,Seputeh,Taman Desa Jalan 3/109 F,40,Night market site (Thursday),"3.100135, 101.689201"
26,Seputeh,Bandar Baru Sri Petaling Jalan Radin,60,,"3.060962, 101.687271"
27,Seputeh,Jalan Mega Mendung Off Jalan Klang Lama,30,,"3.105943, 101.674881"
28,Seputeh,Bukit Jalil Jalan Impian Indah,45,,"3.059758, 101.685394"
29,Seputeh,Jalan Sri Jati 3,30,,"3.075904, 101.679932"
30,Setiawangsa,"Tapak Pasar Malam Jalan Rejang 1, Sri Rampai",150,Night market site (Saturday),"3.192661, 101.739319"
31,Setiawangsa,"Jalan Wangsa Delima, Wangsa Maju",70,,"3.204585, 101.752731"
32,Titiwangsa,Desa Pandan Jalan 3/76D,80,,"3.155133, 101.735771"
33,Titiwangsa,Kampung Baru Jalan Raja Uda,50,,"3.159251, 101.705673"
34,Titiwangsa,Kampung Baru Jalan Raja Alang,120,,"3.161911, 101.703461"
35,Titiwangsa,Lorong Raja Muda Abdul Aziz (TPCA),50,,"3.162906, 101.701759"
36,Titiwangsa,Desa Pandan Jalan 1/76C,100,,"3.156529, 101.734116"
37,Titiwangsa,Berhadapan PPR Laksamana Jalan Peel,30,,"3.127509, 101.728645"
38,Titiwangsa,Pasar dan Pusat Penjaja Jalan Wirawati,56,,"3.124628, 101.720337"
39,Wangsa Maju,Desa Melawati Jalan 5/4C,50,,"3.225984, 101.751198"
40,Wangsa Maju,"Danau Kota Jalan 3A/6, Jalan 4A/6, Jalan 5A/6 Taman Setapak Indah",80,,"3.216131, 101.727303"
41,Wangsa Maju,Wangsa Maju Jalan 3/27A Seksyen 1,340,,"3.217142, 101.742264"
42,Wangsa Maju,Tapak Pasar Malam Taman Melati,150,Night market site (Friday),"3.2262933723720533, 101.72395461824051"
